SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2012-06-03-11,2012-06-03-12,72.0,53.4,60.1,52,935.4,61,72.0,76.1,2,350,0.00,887,186,795,2
Madrid History 2012,581525,2012-06-03-12,2012-06-03-13,73.7,51.6,59.9,46,935.4,62,73.7,76.4,1,340,0.00,963,193,821,1
Madrid History 2012,581525,2012-06-03-13,2012-06-03-14,75.7,50.1,59.9,41,933.9,62,75.7,76.9,1,310,0.00,979,192,830,1
Madrid History 2012,581525,2012-06-03-14,2012-06-03-15,75.5,49.8,59.6,40,935.3,55,75.5,76.8,4,350,0.00,941,188,826,5
Madrid History 2012,581525,2012-06-03-15,2012-06-03-16,76.0,48.4,59.0,38,934.7,58,76.0,76.8,4,340,0.00,850,175,814,5
Madrid History 2012,581525,2012-06-03-16,2012-06-03-17,75.5,46.8,58.4,36,933.9,71,75.5,76.4,4,340,0.00,695,130,798,5
Madrid History 2012,581525,2012-06-03-17,2012-06-03-18,74.5,45.9,57.0,36,933.2,83,74.5,75.9,4,330,0.00,493,125,664,5
Madrid History 2012,581525,2012-06-03-18,2012-06-03-19,76.8,43.0,56.5,30,930.7,78,76.8,76.8,5,290,0.00,281,129,400,6
Madrid History 2012,581525,2012-06-03-19,2012-06-03-20,72.9,46.2,56.3,38,935.4,67,72.9,75.5,5,280,0.00,131,58,369,6
Madrid History 2012,581525,2012-06-03-20,2012-06-03-21,63.9,41.2,50.7,43,931.2,52,63.9,63.9,4,300,0.00,19,19,10,5
Madrid History 2012,581525,2012-06-03-21,2012-06-03-22,62.5,40.8,49.7,45,931.6,60,62.5,62.5,4,320,0.00,0,0,0,5
Madrid History 2012,581525,2012-06-03-22,2012-06-03-23,62.1,40.8,49.7,45,931.8,71,62.1,62.1,4,340,0.00,0,0,0,5
Madrid History 2012,581525,2012-06-03-23,2012-06-04-00,61.9,40.7,49.9,46,932.1,85,61.9,61.9,4,350,0.00,0,0,0,5
Madrid History 2012,581525,2012-06-04-00,2012-06-04-01,61.5,41.0,50.1,47,932.2,91,61.5,61.5,4,350,0.00,0,0,0,5
Madrid History 2012,581525,2012-06-04-01,2012-06-04-02,61.0,41.9,50.6,49,932.6,87,61.0,61.0,4,350,0.00,0,0,0,5
Madrid History 2012,581525,2012-06-04-02,2012-06-04-03,59.6,41.7,49.8,52,932.4,95,59.4,59.4,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-04-03,2012-06-04-04,59.0,41.5,48.3,52,932.2,80,58.6,58.6,5,340,0.00,0,0,0,6
