SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2011-12-31-23,2012-01-01-00,37.7,34.4,35.9,88,942.8,1,34.7,34.7,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-00,2012-01-01-01,36.7,33.9,34.3,90,942.9,1,34.5,34.5,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-01,2012-01-01-02,36.1,33.4,34.3,90,943.0,5,33.5,33.5,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-02,2012-01-01-03,35.7,33.2,34.5,91,942.5,8,33.2,33.2,3,0,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-03,2012-01-01-04,35.7,33.2,34.5,91,942.1,9,32.7,32.7,3,10,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-04,2012-01-01-05,34.9,32.7,32.8,92,941.8,12,32.2,32.2,3,20,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-05,2012-01-01-06,34.0,31.9,32.9,93,941.8,13,31.8,31.8,2,30,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-01-06,2012-01-01-07,32.7,30.9,31.3,93,941.8,18,31.3,31.3,2,40,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-01-07,2012-01-01-08,31.2,29.5,31.4,94,942.1,20,31.2,31.2,1,50,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-01-08,2012-01-01-09,32.4,30.7,31.4,94,941.8,23,32.4,32.4,1,360,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-01-09,2012-01-01-10,40.5,36.0,37.2,84,941.7,24,40.5,40.5,1,330,0.00,75,47,217,1
Madrid History 2012,581525,2012-01-01-10,2012-01-01-11,48.2,35.6,42.4,62,944.7,22,48.2,48.2,2,240,0.00,219,71,556,2
Madrid History 2012,581525,2012-01-01-11,2012-01-01-12,48.3,37.4,43.0,66,944.7,22,48.3,48.3,2,360,0.00,341,80,704,2
Madrid History 2012,581525,2012-01-01-12,2012-01-01-13,48.9,35.8,42.2,61,943.8,35,48.9,48.9,1,340,0.00,418,87,767,1
Madrid History 2012,581525,2012-01-01-13,2012-01-01-14,50.6,36.9,43.4,59,942.5,100,50.6,50.6,2,230,0.00,441,87,791,2
Madrid History 2012,581525,2012-01-01-14,2012-01-01-15,50.8,37.5,43.6,60,941.3,100,49.9,49.9,3,220,0.00,401,83,768,3
Madrid History 2012,581525,2012-01-01-15,2012-01-01-16,52.0,37.5,44.8,58,939.4,65,49.6,49.6,6,210,0.00,313,73,716,7
Madrid History 2012,581525,2012-01-01-16,2012-01-01-17,48.4,38.1,43.3,68,939.4,17,45.8,45.8,5,210,0.00,187,63,570,6
Madrid History 2012,581525,2012-01-01-17,2012-01-01-18,41.9,37.6,39.0,85,939.3,12,38.3,38.3,5,210,0.00,46,31,211,6
Madrid History 2012,581525,2012-01-01-18,2012-01-01-19,40.6,37.2,37.7,88,939.4,7,36.9,36.9,5,220,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-01-19,2012-01-01-20,39.2,36.3,37.8,89,940.0,4,35.7,35.7,4,240,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-01-20,2012-01-01-21,38.7,36.0,36.3,91,939.7,6,35.2,35.2,4,250,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-01-21,2012-01-01-22,38.2,35.8,36.4,92,939.5,32,34.5,34.5,4,240,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-01-22,2012-01-01-23,38.4,36.3,36.5,93,939.3,51,34.2,34.2,5,230,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-01-23,2012-01-02-00,38.5,36.8,36.6,94,939.3,87,33.8,33.8,5,230,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-02-00,2012-01-02-01,38.8,37.4,36.7,95,939.4,92,34.0,34.0,6,240,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-02-01,2012-01-02-02,39.7,38.3,38.5,95,938.8,60,34.0,34.0,7,260,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-02-02,2012-01-02-03,39.0,37.7,36.8,96,938.9,69,33.3,33.3,7,260,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-02-03,2012-01-02-04,39.8,38.1,38.4,94,939.0,45,34.6,34.6,7,260,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-02-04,2012-01-02-05,38.7,37.6,36.8,96,939.2,26,33.7,33.7,6,260,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-02-05,2012-01-02-06,37.8,36.8,37.0,97,939.5,66,32.8,32.8,6,260,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-02-06,2012-01-02-07,38.9,37.8,36.8,96,940.0,84,34.4,34.4,5,250,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-02-07,2012-01-02-08,42.2,41.1,40.5,96,939.8,97,37.5,37.5,6,250,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-02-08,2012-01-02-09,39.5,39.2,39.1,100,942.0,94,35.3,35.3,5,300,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-02-09,2012-01-02-10,42.8,37.9,40.5,83,943.1,86,37.3,37.3,8,300,0.00,25,25,0,9
Madrid History 2012,581525,2012-01-02-10,2012-01-02-11,44.8,27.1,37.4,50,943.0,55,40.9,40.9,6,250,0.00,111,104,27,7
Madrid History 2012,581525,2012-01-02-11,2012-01-02-12,46.5,30.4,39.4,53,944.0,49,40.9,40.9,11,270,0.00,266,144,327,13
Madrid History 2012,581525,2012-01-02-12,2012-01-02-13,44.9,30.3,38.4,57,944.8,38,44.1,44.1,2,130,0.00,343,159,425,2
Madrid History 2012,581525,2012-01-02-13,2012-01-02-14,45.8,30.5,38.1,55,944.5,41,45.8,45.8,1,130,0.00,377,151,505,1
Madrid History 2012,581525,2012-01-02-14,2012-01-02-15,46.1,30.6,38.0,54,944.6,49,46.1,46.1,0,30,0.00,344,137,500,0
Madrid History 2012,581525,2012-01-02-15,2012-01-02-16,49.9,27.0,38.9,41,944.0,27,46.0,46.0,8,160,0.00,287,82,607,9
Madrid History 2012,581525,2012-01-02-16,2012-01-02-17,42.9,28.9,36.8,57,944.5,15,38.6,38.6,6,170,0.00,183,50,603,7
Madrid History 2012,581525,2012-01-02-17,2012-01-02-18,46.0,27.1,36.9,47,945.8,22,40.7,40.7,10,290,0.00,48,29,268,12
Madrid History 2012,581525,2012-01-02-18,2012-01-02-19,42.6,27.0,34.8,54,946.7,26,37.5,37.5,8,220,0.00,0,0,0,9
Madrid History 2012,581525,2012-01-02-19,2012-01-02-20,42.6,25.3,34.3,50,946.7,52,36.8,36.8,9,280,0.00,0,0,0,10
Madrid History 2012,581525,2012-01-02-20,2012-01-02-21,38.7,33.1,34.9,80,944.9,36,33.3,33.3,6,320,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-02-21,2012-01-02-22,37.6,33.1,35.4,84,945.1,25,32.4,32.4,6,320,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-02-22,2012-01-02-23,36.6,33.1,34.1,88,945.7,24,31.8,31.8,5,330,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-02-23,2012-01-03-00,35.7,32.8,34.3,90,946.2,26,31.4,31.4,4,330,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-03-00,2012-01-03-01,34.9,32.4,32.7,91,946.6,21,31.2,31.2,4,330,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-03-01,2012-01-03-02,33.4,31.2,31.2,92,946.6,18,31.5,31.5,2,340,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-03-02,2012-01-03-03,31.6,29.7,31.3,93,946.1,18,31.6,31.6,1,360,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-03-03,2012-01-03-04,30.7,29.0,31.4,94,945.9,18,30.7,30.7,1,70,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-03-04,2012-01-03-05,30.0,28.5,29.7,95,945.8,19,30.0,30.0,1,90,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-03-05,2012-01-03-06,29.7,28.4,29.7,95,945.8,26,29.7,29.7,1,90,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-03-06,2012-01-03-07,29.7,28.4,29.7,95,945.7,99,29.2,29.2,1,50,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-03-07,2012-01-03-08,29.9,28.3,29.6,94,946.3,100,28.9,28.9,2,340,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-03-08,2012-01-03-09,37.4,32.0,35.1,81,946.5,90,37.3,37.3,2,350,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-03-09,2012-01-03-10,39.1,33.0,34.8,79,946.4,38,38.3,38.3,2,350,0.00,74,48,198,2
Madrid History 2012,581525,2012-01-03-10,2012-01-03-11,43.0,32.1,38.0,65,948.5,21,43.0,43.0,1,280,0.00,225,68,587,1
Madrid History 2012,581525,2012-01-03-11,2012-01-03-12,46.3,32.4,38.6,58,947.8,18,45.6,45.6,3,250,0.00,352,78,737,3
Madrid History 2012,581525,2012-01-03-12,2012-01-03-13,46.5,31.9,40.0,57,949.4,42,46.5,46.5,1,350,0.00,433,66,845,1
Madrid History 2012,581525,2012-01-03-13,2012-01-03-14,48.2,31.9,39.4,53,948.2,41,48.2,48.2,1,350,0.00,459,67,873,1
Madrid History 2012,581525,2012-01-03-14,2012-01-03-15,48.3,31.8,40.9,53,948.4,45,48.3,48.3,1,350,0.00,424,66,859,1
Madrid History 2012,581525,2012-01-03-15,2012-01-03-16,51.5,32.0,41.4,47,947.6,45,51.5,51.5,2,360,0.00,335,79,753,2
Madrid History 2012,581525,2012-01-03-16,2012-01-03-17,51.0,32.2,41.5,48,947.6,46,51.0,51.0,1,350,0.00,202,68,607,1
Madrid History 2012,581525,2012-01-03-17,2012-01-03-18,49.2,32.0,40.6,51,947.6,44,49.2,49.2,1,350,0.00,53,33,271,1
Madrid History 2012,581525,2012-01-03-18,2012-01-03-19,46.2,31.7,38.4,57,947.9,27,46.2,46.2,1,320,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-03-19,2012-01-03-20,42.3,30.1,36.0,62,948.5,18,40.8,40.8,3,120,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-03-20,2012-01-03-21,33.7,28.7,30.2,82,946.0,13,32.5,32.5,2,290,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-03-21,2012-01-03-22,33.4,28.3,30.2,82,946.3,12,31.5,31.5,2,320,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-03-22,2012-01-03-23,33.4,28.0,30.1,81,946.5,8,30.3,30.3,3,340,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-03-23,2012-01-04-00,33.5,27.6,29.9,79,946.7,4,29.3,29.3,4,340,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-04-00,2012-01-04-01,33.6,27.8,29.9,79,946.8,1,28.6,28.6,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-04-01,2012-01-04-02,32.6,27.2,30.1,81,947.2,2,26.9,26.9,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-04-02,2012-01-04-03,32.4,27.7,30.3,83,947.1,3,26.2,26.2,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-04-03,2012-01-04-04,32.0,27.9,30.5,85,947.0,2,25.8,25.8,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-04-04,2012-01-04-05,31.7,28.0,30.7,87,946.9,0,25.6,25.6,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-04-05,2012-01-04-06,31.6,28.2,30.7,87,946.9,7,25.4,25.4,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-04-06,2012-01-04-07,31.7,28.4,30.8,88,947.2,3,25.3,25.3,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-04-07,2012-01-04-08,30.8,27.5,30.8,88,948.2,3,24.5,24.5,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-04-08,2012-01-04-09,37.2,29.3,32.4,73,948.4,4,32.8,32.8,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-04-09,2012-01-04-10,42.6,31.1,36.2,64,948.4,7,40.0,40.0,4,350,0.00,77,44,259,5
Madrid History 2012,581525,2012-01-04-10,2012-01-04-11,41.3,32.0,36.9,69,951.2,2,38.8,38.8,4,350,0.00,224,60,613,5
Madrid History 2012,581525,2012-01-04-11,2012-01-04-12,44.9,33.8,39.6,65,951.2,6,42.8,42.8,4,110,0.00,347,80,715,5
Madrid History 2012,581525,2012-01-04-12,2012-01-04-13,48.4,35.6,42.2,61,952.2,14,47.7,47.7,3,120,0.00,426,86,780,3
Madrid History 2012,581525,2012-01-04-13,2012-01-04-14,50.2,35.7,43.1,57,950.4,6,49.6,49.6,3,250,0.00,451,88,805,3
Madrid History 2012,581525,2012-01-04-14,2012-01-04-15,53.6,35.8,43.6,51,950.3,2,53.5,53.5,3,250,0.00,418,85,796,3
Madrid History 2012,581525,2012-01-04-15,2012-01-04-16,53.3,34.1,43.0,48,949.5,1,53.3,53.3,3,170,0.00,332,77,745,3
Madrid History 2012,581525,2012-01-04-16,2012-01-04-17,52.9,34.2,43.2,49,948.5,1,52.0,52.0,4,200,0.00,201,68,594,5
Madrid History 2012,581525,2012-01-04-17,2012-01-04-18,52.8,34.2,43.2,49,949.5,2,52.8,52.8,2,360,0.00,53,34,255,2
Madrid History 2012,581525,2012-01-04-18,2012-01-04-19,50.9,35.7,42.9,56,949.0,2,50.5,50.5,3,340,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-04-19,2012-01-04-20,46.0,34.0,39.3,63,950.4,10,42.8,42.8,5,170,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-04-20,2012-01-04-21,39.6,36.5,37.8,89,947.8,19,35.6,35.6,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-04-21,2012-01-04-22,39.8,37.1,37.9,90,947.7,30,35.2,35.2,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-04-22,2012-01-04-23,39.5,37.2,38.2,92,947.9,36,34.6,34.6,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-04-23,2012-01-05-00,39.0,37.1,36.5,93,947.8,44,34.0,34.0,6,360,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-05-00,2012-01-05-01,38.3,36.6,36.6,94,947.7,96,33.5,33.5,6,360,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-05-01,2012-01-05-02,37.8,36.3,36.7,95,947.4,69,33.2,33.2,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-05-02,2012-01-05-03,37.1,35.6,34.9,95,947.3,81,32.5,32.5,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-05-03,2012-01-05-04,37.0,35.4,34.8,94,947.1,82,32.5,32.5,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-05-04,2012-01-05-05,36.3,34.5,34.7,93,946.9,82,32.0,32.0,4,350,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-05-05,2012-01-05-06,35.5,33.5,32.8,92,946.7,42,31.3,31.3,4,350,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-05-06,2012-01-05-07,34.6,32.2,32.8,92,946.6,32,30.0,30.0,4,350,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-05-07,2012-01-05-08,33.1,30.9,31.2,92,946.9,36,29.4,29.4,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-05-08,2012-01-05-09,39.2,33.8,35.1,81,947.2,37,36.9,36.9,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-05-09,2012-01-05-10,42.9,37.2,40.1,80,948.5,35,42.9,42.9,1,360,0.00,79,46,255,1
Madrid History 2012,581525,2012-01-05-10,2012-01-05-11,47.2,38.0,42.0,70,948.0,31,47.2,47.2,1,310,0.00,232,64,623,1
Madrid History 2012,581525,2012-01-05-11,2012-01-05-12,50.9,37.8,43.8,61,947.1,32,50.9,50.9,2,290,0.00,360,78,752,2
Madrid History 2012,581525,2012-01-05-12,2012-01-05-13,52.3,36.6,44.3,55,945.9,29,52.3,52.3,2,260,0.00,441,88,810,2
Madrid History 2012,581525,2012-01-05-13,2012-01-05-14,53.7,35.5,44.9,50,947.5,30,53.7,53.7,2,360,0.00,469,92,832,2
Madrid History 2012,581525,2012-01-05-14,2012-01-05-15,54.5,35.4,44.7,49,946.6,21,54.5,54.5,3,350,0.00,435,92,814,3
Madrid History 2012,581525,2012-01-05-15,2012-01-05-16,49.1,35.7,42.0,60,945.9,23,49.1,49.1,2,340,0.00,346,85,757,2
Madrid History 2012,581525,2012-01-05-16,2012-01-05-17,41.1,33.5,37.6,74,945.4,23,39.1,39.1,3,330,0.00,213,72,620,3
Madrid History 2012,581525,2012-01-05-17,2012-01-05-18,40.6,31.4,35.4,70,944.9,28,37.1,37.1,4,320,0.00,59,32,344,5
Madrid History 2012,581525,2012-01-05-18,2012-01-05-19,49.5,35.3,41.7,58,945.7,33,47.2,47.2,5,320,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-05-19,2012-01-05-20,47.8,35.1,40.6,61,945.7,66,47.8,47.8,1,350,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-05-20,2012-01-05-21,40.3,27.5,34.1,60,943.6,61,35.5,35.5,6,330,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-05-21,2012-01-05-22,39.9,25.4,33.5,56,943.5,60,34.9,34.9,6,330,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-05-22,2012-01-05-23,39.7,24.5,33.3,54,943.8,54,34.4,34.4,7,340,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-05-23,2012-01-06-00,39.4,24.1,33.3,54,943.8,61,33.9,33.9,7,340,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-06-00,2012-01-06-01,39.0,24.3,31.9,56,943.9,84,33.4,33.4,7,340,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-06-01,2012-01-06-02,38.5,26.6,32.7,62,943.3,78,32.9,32.9,7,350,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-06-02,2012-01-06-03,38.1,27.7,33.2,66,943.3,84,32.5,32.5,7,350,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-06-03,2012-01-06-04,37.7,28.5,33.6,69,943.3,83,32.5,32.5,6,340,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-06-04,2012-01-06-05,37.3,28.8,32.2,72,943.4,80,32.3,32.3,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-06-05,2012-01-06-06,36.8,29.0,32.5,74,943.6,65,31.9,31.9,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-06-06,2012-01-06-07,36.1,28.9,32.6,75,944.0,90,31.4,31.4,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-06-07,2012-01-06-08,36.3,29.7,32.8,77,943.6,31,31.6,31.6,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-06-08,2012-01-06-09,37.5,30.5,34.4,76,943.9,31,32.5,32.5,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-06-09,2012-01-06-10,44.1,33.1,38.0,65,944.3,20,40.7,40.7,5,350,0.00,79,48,240,6
Madrid History 2012,581525,2012-01-06-10,2012-01-06-11,55.3,39.0,45.6,54,945.7,20,51.7,51.7,12,0,0.00,229,64,611,14
Madrid History 2012,581525,2012-01-06-11,2012-01-06-12,55.4,39.1,47.2,54,946.7,24,51.1,51.1,15,20,0.00,354,78,736,17
Madrid History 2012,581525,2012-01-06-12,2012-01-06-13,57.3,39.2,48.1,51,946.7,41,53.6,53.6,15,0,0.00,433,86,792,17
Madrid History 2012,581525,2012-01-06-13,2012-01-06-14,55.6,37.5,46.6,51,945.7,48,51.4,51.4,15,0,0.00,455,88,808,17
Madrid History 2012,581525,2012-01-06-14,2012-01-06-15,58.9,39.2,47.4,48,946.6,23,56.8,56.8,10,360,0.00,422,86,795,12
Madrid History 2012,581525,2012-01-06-15,2012-01-06-16,58.7,39.3,47.4,48,945.7,22,55.9,55.9,13,0,0.00,337,80,742,15
Madrid History 2012,581525,2012-01-06-16,2012-01-06-17,50.9,40.3,44.8,67,945.4,15,46.2,46.2,12,0,0.00,206,72,584,14
Madrid History 2012,581525,2012-01-06-17,2012-01-06-18,53.1,37.5,44.5,56,945.7,8,47.9,47.9,16,40,0.00,58,37,261,18
Madrid History 2012,581525,2012-01-06-18,2012-01-06-19,50.0,38.2,42.7,64,945.7,7,44.3,44.3,14,40,0.00,0,0,0,16
Madrid History 2012,581525,2012-01-06-19,2012-01-06-20,47.3,38.4,42.2,71,945.7,3,41.6,41.6,12,40,0.00,0,0,0,14
Madrid History 2012,581525,2012-01-06-20,2012-01-06-21,41.4,38.3,39.6,89,944.5,3,37.0,37.0,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-06-21,2012-01-06-22,40.7,38.0,38.0,91,944.8,2,36.2,36.2,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-06-22,2012-01-06-23,40.3,37.9,38.0,91,944.8,6,35.5,35.5,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-06-23,2012-01-07-00,39.9,37.6,38.2,92,944.7,4,34.9,34.9,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-00,2012-01-07-01,39.5,37.4,38.3,93,944.4,12,34.5,34.5,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-01,2012-01-07-02,40.7,38.9,38.4,94,943.5,26,35.9,35.9,6,0,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-02,2012-01-07-03,40.0,38.3,38.4,94,943.1,43,35.1,35.1,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-03,2012-01-07-04,39.3,37.6,38.4,94,942.9,50,34.3,34.3,6,350,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-04,2012-01-07-05,39.0,37.4,36.6,94,943.5,53,33.7,33.7,7,350,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-07-05,2012-01-07-06,38.6,37.1,36.7,95,943.9,58,33.2,33.2,7,360,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-07-06,2012-01-07-07,38.2,36.8,36.7,95,944.3,59,32.8,32.8,6,360,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-07,2012-01-07-08,38.5,37.2,36.7,95,944.4,75,33.9,33.9,5,0,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-07-08,2012-01-07-09,39.4,37.5,38.3,93,944.5,77,34.6,34.6,6,10,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-09,2012-01-07-10,42.4,37.7,38.9,84,945.0,58,38.4,38.4,6,0,0.00,57,49,61,7
Madrid History 2012,581525,2012-01-07-10,2012-01-07-11,45.8,38.0,40.9,74,945.1,27,42.9,42.9,5,0,0.00,186,97,330,6
Madrid History 2012,581525,2012-01-07-11,2012-01-07-12,46.6,39.1,42.8,75,947.6,31,46.5,46.5,2,0,0.00,350,79,722,2
Madrid History 2012,581525,2012-01-07-12,2012-01-07-13,49.8,38.4,42.9,65,945.5,34,49.8,49.8,1,310,0.00,441,87,805,1
Madrid History 2012,581525,2012-01-07-13,2012-01-07-14,53.7,39.0,46.4,58,946.6,18,53.7,53.7,1,360,0.00,469,92,826,1
Madrid History 2012,581525,2012-01-07-14,2012-01-07-15,54.0,38.2,45.8,55,945.6,32,54.0,54.0,2,30,0.00,439,93,812,2
Madrid History 2012,581525,2012-01-07-15,2012-01-07-16,50.5,38.6,44.3,64,944.9,14,50.5,50.5,2,30,0.00,348,86,752,2
Madrid History 2012,581525,2012-01-07-16,2012-01-07-17,42.2,37.3,38.8,83,944.3,1,40.8,40.8,3,10,0.00,217,73,617,3
Madrid History 2012,581525,2012-01-07-17,2012-01-07-18,58.1,37.5,47.0,46,944.8,1,57.9,57.9,4,0,0.00,63,38,296,5
Madrid History 2012,581525,2012-01-07-18,2012-01-07-19,55.0,36.6,44.9,50,944.9,0,53.6,53.6,5,360,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-07-19,2012-01-07-20,51.6,36.6,43.1,57,944.9,0,49.1,49.1,6,360,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-20,2012-01-07-21,40.6,33.7,36.1,76,943.4,0,35.9,35.9,6,360,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-21,2012-01-07-22,39.9,33.6,36.4,78,943.6,0,34.9,34.9,6,0,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-22,2012-01-07-23,39.3,33.3,36.5,79,943.7,0,34.2,34.2,6,10,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-07-23,2012-01-08-00,38.7,33.1,34.9,80,943.8,0,33.4,33.4,6,20,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-08-00,2012-01-08-01,38.1,32.9,35.2,82,943.7,0,32.7,32.7,6,20,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-08-01,2012-01-08-02,37.9,33.1,35.3,83,943.2,0,32.2,32.2,7,30,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-08-02,2012-01-08-03,37.1,32.7,33.7,84,943.2,0,31.6,31.6,6,30,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-08-03,2012-01-08-04,36.1,32.3,33.9,86,943.0,0,30.9,30.9,5,30,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-08-04,2012-01-08-05,35.6,31.7,32.1,86,942.9,0,30.3,30.3,5,30,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-08-05,2012-01-08-06,35.0,31.0,32.1,86,942.8,0,29.7,29.7,5,20,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-08-06,2012-01-08-07,34.4,30.4,32.1,86,942.7,0,29.3,29.3,5,20,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-08-07,2012-01-08-08,34.5,30.0,31.9,84,942.2,0,29.5,29.5,5,20,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-08-08,2012-01-08-09,35.6,29.6,31.5,79,942.5,0,30.4,30.4,5,10,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-08-09,2012-01-08-10,41.3,25.1,34.6,52,944.8,0,39.4,39.4,3,300,0.00,83,43,306,3
Madrid History 2012,581525,2012-01-08-10,2012-01-08-11,44.9,25.2,36.7,46,944.8,0,44.9,44.9,1,0,0.00,239,54,680,1
Madrid History 2012,581525,2012-01-08-11,2012-01-08-12,48.5,26.9,39.2,43,944.8,0,48.5,48.5,1,350,0.00,369,62,815,1
Madrid History 2012,581525,2012-01-08-12,2012-01-08-13,48.3,23.2,38.2,37,943.6,0,48.3,48.3,2,300,0.00,453,67,875,2
Madrid History 2012,581525,2012-01-08-13,2012-01-08-14,55.3,28.3,42.0,35,944.7,0,55.3,55.3,2,320,0.00,484,71,900,2
Madrid History 2012,581525,2012-01-08-14,2012-01-08-15,55.5,29.1,43.6,36,943.9,0,55.5,55.5,2,330,0.00,450,73,882,2
Madrid History 2012,581525,2012-01-08-15,2012-01-08-16,50.5,32.0,41.7,49,943.4,0,50.5,50.5,2,330,0.00,361,89,774,2
Madrid History 2012,581525,2012-01-08-16,2012-01-08-17,41.2,32.0,37.0,70,942.7,0,38.8,38.8,3,340,0.00,225,74,642,3
Madrid History 2012,581525,2012-01-08-17,2012-01-08-18,40.4,29.2,34.6,64,942.1,0,36.5,36.5,5,350,0.00,67,34,385,6
